"number","name","type1","type2","total","hp","attack","defense","sp_attack","sp_defense","speed","generation","legendary"
848,"Toxel","Electric","Poison",242,40,38,35,54,35,40,8,FALSE
239,"Elekid","Electric","",360,45,63,37,65,55,95,2,FALSE
53,"Alolan Persian","Dark","",440,65,60,60,75,65,115,7,FALSE
539,"Sawk","Fighting","",465,75,125,75,30,75,85,5,FALSE
844,"Gigantamax Sandaconda","Ground","",510,72,107,125,65,70,71,8,FALSE
413,"Wormadam Plant Cloak","Bug","Grass",424,60,59,85,79,105,36,4,FALSE
243,"Raikou","Electric","",580,90,85,75,115,100,115,2,TRUE
256,"Combusken","Fire","Fighting",405,60,85,60,85,60,55,3,FALSE
823,"Corviknight","Flying","Steel",495,98,87,105,53,85,67,8,FALSE
13,"Weedle","Bug","Poison",195,40,35,30,20,20,50,1,FALSE
291,"Ninjask","Bug","Flying",456,61,90,45,50,50,160,3,FALSE
107,"Hitmonchan","Fighting","",455,50,105,79,35,110,76,1,FALSE
713,"Avalugg","Ice","",514,95,117,184,44,46,28,6,FALSE
765,"Oranguru","Normal","Psychic",490,90,60,80,90,110,60,7,FALSE
865,"Sirfetch'd","Fighting","",507,62,135,95,68,82,65,8,FALSE
626,"Bouffalant","Normal","",490,95,110,95,40,95,55,5,FALSE
171,"Lanturn","Water","Electric",460,125,58,58,76,76,67,2,FALSE
784,"Kommo-o","Dragon","Fighting",600,75,110,125,100,105,85,7,FALSE
585,"Deerling","Normal","Grass",335,60,60,50,40,50,75,5,FALSE
557,"Dwebble","Bug","Rock",325,50,65,85,35,35,55,5,FALSE
381,"Latios","Dragon","Psychic",600,80,90,80,130,110,110,3,TRUE
522,"Blitzle","Electric","",295,45,60,32,50,32,76,5,FALSE
364,"Sealeo","Ice","Water",410,90,60,70,75,70,45,3,FALSE
264,"Linoone","Normal","",420,78,70,61,50,61,100,3,FALSE
174,"Igglybuff","Normal","Fairy",210,90,30,15,40,20,15,2,FALSE
310,"Manectric","Electric","",475,70,75,60,105,60,105,3,FALSE
31,"Nidoqueen","Poison","Ground",505,90,92,87,75,85,76,1,FALSE
674,"Pancham","Fighting","",348,67,82,62,46,48,43,6,FALSE
49,"Venomoth","Bug","Poison",450,70,65,60,90,75,90,1,FALSE
715,"Noivern","Flying","Dragon",535,85,70,80,97,80,123,6,FALSE
479,"Heat Rotom","Electric","Fire",520,50,65,107,105,107,86,4,FALSE
850,"Sizzlipede","Fire","Bug",305,50,65,45,50,50,45,8,FALSE
711,"Gourgeist Large Size","Ghost","Grass",494,75,95,122,58,75,69,6,FALSE
779,"Bruxish","Water","Psychic",475,68,105,70,70,70,92,7,FALSE
687,"Malamar","Dark","Psychic",482,86,92,88,68,75,73,6,FALSE
52,"Meowth","Normal","",290,40,45,35,40,40,90,1,FALSE
640,"Virizion","Grass","Fighting",580,91,90,72,90,129,108,5,TRUE
28,"Sandslash","Ground","",450,75,100,110,45,55,65,1,FALSE
194,"Wooper","Water","Ground",210,55,45,45,25,25,15,2,FALSE
301,"Delcatty","Normal","",380,70,65,65,55,55,70,3,FALSE
246,"Larvitar","Rock","Ground",300,50,64,50,45,50,41,2,FALSE
115,"Mega Kangaskhan","Normal","",590,105,125,100,60,100,100,1,FALSE
300,"Skitty","Normal","",260,50,45,45,35,35,50,3,FALSE
675,"Pangoro","Fighting","Dark",495,95,124,78,69,71,58,6,FALSE
548,"Petilil","Grass","",280,45,35,50,70,50,30,5,FALSE
681,"Aegislash Shield Forme","Steel","Ghost",520,60,50,150,50,150,60,6,FALSE
229,"Houndoom","Dark","Fire",500,75,90,50,110,80,95,2,FALSE
658,"Greninja","Water","Dark",530,72,95,67,103,71,122,6,FALSE
540,"Sewaddle","Bug","Grass",310,45,53,70,40,60,42,5,FALSE
293,"Whismur","Normal","",240,64,51,23,51,23,28,3,FALSE
62,"Poliwrath","Water","Fighting",510,90,95,95,70,90,70,1,FALSE
553,"Krookodile","Ground","Dark",519,95,117,80,65,70,92,5,FALSE
610,"Axew","Dragon","",320,46,87,60,30,40,57,5,FALSE
817,"Drizzile","Water","",420,65,60,55,95,55,90,8,FALSE
306,"Mega Aggron","Steel","",630,70,140,230,60,80,50,3,FALSE
